X,Y,support,confidence,lift
Proposed Construction Type:5,Existing Construction Type:5,0.037435897,0.917447018,22.19953916
Existing Construction Type:5,Proposed Construction Type:5,0.037435897,0.905839416,22.19953916
Proposed Construction Type:5,Permit Type:8,0.026656611,0.653277477,11.77284498
Existing Construction Type:5,Permit Type:8,0.025304173,0.612287105,11.03414924
"Existing Construction Type:5, Proposed Construction Type:5",Permit Type:8,0.024896933,0.665055063,11.98509124
Proposed Construction Type:5,"Permit Type:8, Existing Construction Type:5",0.024896933,0.610152785,24.11273373
Existing Construction Type:5,"Permit Type:8, Proposed Construction Type:5",0.024896933,0.60243309,22.59976266
"Permit Type:8, Proposed Construction Type:5",Existing Construction Type:5,0.024896933,0.933987175,22.59976266
"Permit Type:8, Existing Construction Type:5",Proposed Construction Type:5,0.024896933,0.983906219,24.11273373
Current Status:complete,Permit Type:8,0.023353444,0.697447447,12.56884093
Current Status:issued,Permit Type:8,0.017667169,0.653645833,11.77948322
Fire Only Permit:Y,Permit Type:8,0.014022122,0.840566606,15.14802012
"Proposed Construction Type:5, Current Status:complete",Existing Construction Type:5,0.012775264,0.90234375,21.83408417
"Existing Construction Type:5, Current Status:complete",Proposed Construction Type:5,0.012775264,0.912060302,22.35199531
"Proposed Construction Type:5, Permit Type:3",Existing Construction Type:5,0.012533937,0.954806588,23.10353166
"Existing Construction Type:5, Permit Type:3",Proposed Construction Type:5,0.012533937,0.990464839,24.27346679
Existing Construction Type:1,Proposed Construction Type:1,0.012031171,0.854032834,61.1252719
Proposed Construction Type:1,Existing Construction Type:1,0.012031171,0.861101116,61.1252719
Existing Construction Type:3,Proposed Construction Type:3,0.011598793,0.887990762,71.50662453
Proposed Construction Type:3,Existing Construction Type:3,0.011598793,0.934008097,71.50662453
"Proposed Construction Type:5, Current Status:complete",Permit Type:8,0.010351936,0.731178977,13.17672362
"Current Status:issued, Proposed Construction Type:5",Existing Construction Type:5,0.010080442,0.901123596,21.80455999
"Existing Construction Type:5, Current Status:issued",Proposed Construction Type:5,0.010080442,0.872877667,21.39174074
"Existing Construction Type:5, Current Status:complete",Permit Type:8,0.009638009,0.688083274,12.40008726
